,Set Combination,Intersection,set_number,word_percent
590,"('subset_충전', 'subset_C타입', 'subset_가능', 'subset_충전기')","['C타입', '충전']",4,10.16
592,"('subset_충전', 'subset_C타입', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",4,10.16
595,"('subset_충전', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전', '고속충전']",4,11.75
804,"('subset_여행', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭')","['여행', '어댑터', '충전']",4,15.86
805,"('subset_여행', 'subset_어댑터', 'subset_콘센트', 'subset_충전기')","['여행', '어댑터', '충전']",4,15.86
826,"('subset_여행', 'subset_어댑터', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전']",4,15.86
847,"('subset_여행', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전']",4,15.86
987,"('subset_어댑터', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전']",4,15.86
1078,"('subset_포트', 'subset_C타입', 'subset_가능', 'subset_고속충전')","['C타입', '포트', '충전']",4,12.22
1080,"('subset_포트', 'subset_C타입', 'subset_가능', 'subset_충전기')","['C타입', '충전']",4,10.16
1082,"('subset_포트', 'subset_C타입', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",4,10.16
1085,"('subset_포트', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전', '고속충전']",4,11.75
1089,"('subset_C타입', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",4,10.16
1299,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭')","['여행', '충전']",5,13.33
1300,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_콘센트', 'subset_충전기')","['여행', '충전']",5,13.33
1321,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_멀티탭', 'subset_충전기')","['여행', '충전']",5,13.33
1342,"('subset_충전', 'subset_여행', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '충전']",5,13.33
1482,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '충전']",5,13.33
1573,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_가능', 'subset_고속충전')","['C타입', '포트', '충전']",5,12.22
1575,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_가능', 'subset_충전기')","['C타입', '충전']",5,10.16
1577,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",5,10.16
1580,"('subset_충전', 'subset_포트', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전', '고속충전']",5,11.75
1584,"('subset_충전', 'subset_C타입', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",5,10.16
2022,"('subset_여행', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전']",5,15.86
2375,"('subset_포트', 'subset_C타입', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",5,10.16
2814,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '충전']",6,13.33
3167,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",6,10.16
