,Set Combination,Intersection,set_number,word_percent,not_in_intersection,concated_word_list,word_percent_concated
301,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_충전기')","['충전', '충전기']",4,9.96,"['어댑터', '콘센트']","['충전', '충전기', '어댑터', '콘센트']",15.06
307,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_C타입')","['충전', '포트', 'C타입']",4,13.14,['어댑터'],"['충전', '포트', 'C타입', '어댑터']",15.87
308,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_고속충전')","['포트', 'C타입']",4,4.36,"['충전', '어댑터', '고속충전']","['포트', 'C타입', '충전', '어댑터', '고속충전']",17.58
309,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['어댑터', '멀티탭']","['충전', '포트', '어댑터', '멀티탭']",15.03
310,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_충전기')","['충전', 'C타입']",4,10.92,"['어댑터', '포트', '충전기']","['충전', 'C타입', '어댑터', '포트', '충전기']",17.05
311,"('subset_충전', 'subset_어댑터', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",4,4.36,"['충전', '어댑터', '고속충전']","['포트', 'C타입', '충전', '어댑터', '고속충전']",17.58
312,"('subset_충전', 'subset_어댑터', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['어댑터', 'C타입', '멀티탭']","['충전', '포트', '어댑터', 'C타입', '멀티탭']",17.17
313,"('subset_충전', 'subset_어댑터', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",4,10.92,"['어댑터', '충전기']","['충전', 'C타입', '어댑터', '충전기']",14.83
316,"('subset_충전', 'subset_어댑터', 'subset_멀티탭', 'subset_충전기')","['충전', '충전기']",4,9.96,"['어댑터', '멀티탭']","['충전', '충전기', '어댑터', '멀티탭']",13.99
322,"('subset_충전', 'subset_콘센트', 'subset_포트', 'subset_C타입')","['충전', '포트']",4,11.0,"['콘센트', 'C타입']","['충전', '포트', '콘센트', 'C타입']",15.51
324,"('subset_충전', 'subset_콘센트', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['콘센트', '멀티탭']","['충전', '포트', '콘센트', '멀티탭']",14.67
327,"('subset_충전', 'subset_콘센트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['콘센트', 'C타입', '멀티탭']","['충전', '포트', '콘센트', 'C타입', '멀티탭']",16.81
331,"('subset_충전', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['충전', '충전기']",4,9.96,"['콘센트', '멀티탭']","['충전', '충전기', '콘센트', '멀티탭']",13.64
342,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",4,4.36,"['충전', '고속충전']","['포트', 'C타입', '충전', '고속충전']",14.85
343,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['C타입', '멀티탭']","['충전', '포트', 'C타입', '멀티탭']",14.45
344,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",4,10.92,"['포트', '충전기']","['충전', 'C타입', '포트', '충전기']",14.32
497,"('subset_어댑터', 'subset_콘센트', 'subset_포트', 'subset_C타입')","['충전', '포트']",4,11.0,"['어댑터', '콘센트', 'C타입']","['충전', '포트', '어댑터', '콘센트', 'C타입']",18.24
499,"('subset_어댑터', 'subset_콘센트', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['어댑터', '콘센트', '멀티탭']","['충전', '포트', '어댑터', '콘센트', '멀티탭']",17.4
502,"('subset_어댑터', 'subset_콘센트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['어댑터', '콘센트', 'C타입', '멀티탭']","['충전', '포트', '어댑터', '콘센트', 'C타입', '멀티탭']",19.54
506,"('subset_어댑터', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['어댑터', '충전', '충전기']",4,12.69,"['콘센트', '멀티탭']","['어댑터', '충전', '충전기', '콘센트', '멀티탭']",16.36
517,"('subset_어댑터', 'subset_포트', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",4,4.36,"['어댑터', '고속충전']","['포트', 'C타입', '어댑터', '고속충전']",8.8
518,"('subset_어댑터', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['어댑터', 'C타입', '멀티탭']","['충전', '포트', '어댑터', 'C타입', '멀티탭']",17.17
519,"('subset_어댑터', 'subset_포트', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",4,10.92,"['어댑터', '포트', '충전기']","['충전', 'C타입', '어댑터', '포트', '충전기']",17.05
538,"('subset_콘센트', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",4,11.0,"['콘센트', 'C타입', '멀티탭']","['충전', '포트', '콘센트', 'C타입', '멀티탭']",16.81
707,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_포트', 'subset_C타입')","['충전', '포트']",5,11.0,"['어댑터', '콘센트', 'C타입']","['충전', '포트', '어댑터', '콘센트', 'C타입']",18.24
709,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",5,11.0,"['어댑터', '콘센트', '멀티탭']","['충전', '포트', '어댑터', '콘센트', '멀티탭']",17.4
712,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",5,11.0,"['어댑터', '콘센트', 'C타입', '멀티탭']","['충전', '포트', '어댑터', '콘센트', 'C타입', '멀티탭']",19.54
716,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['충전', '충전기']",5,9.96,"['어댑터', '콘센트', '멀티탭']","['충전', '충전기', '어댑터', '콘센트', '멀티탭']",16.36
727,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",5,4.36,"['충전', '어댑터', '고속충전']","['포트', 'C타입', '충전', '어댑터', '고속충전']",17.58
728,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",5,11.0,"['어댑터', 'C타입', '멀티탭']","['충전', '포트', '어댑터', 'C타입', '멀티탭']",17.17
729,"('subset_충전', 'subset_어댑터', 'subset_포트', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",5,10.92,"['어댑터', '포트', '충전기']","['충전', 'C타입', '어댑터', '포트', '충전기']",17.05
748,"('subset_충전', 'subset_콘센트', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",5,11.0,"['콘센트', 'C타입', '멀티탭']","['충전', '포트', '콘센트', 'C타입', '멀티탭']",16.81
979,"('subset_어댑터', 'subset_콘센트', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",5,11.0,"['어댑터', '콘센트', 'C타입', '멀티탭']","['충전', '포트', '어댑터', '콘센트', 'C타입', '멀티탭']",19.54
1231,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",6,11.0,"['어댑터', '콘센트', 'C타입', '멀티탭']","['충전', '포트', '어댑터', '콘센트', 'C타입', '멀티탭']",19.54
